,preNumRotatableBonds,ex1SlogP_VSA5,pieceBCUT2D_MWLOW,pieceMinPartialCharge,ex1Chi2v,ex2PEOE_VSA7,pieceVSA_EState3,R,pieceSlogP_VSA5,ex1Chi4v,pieceMolLogP,pieceVSA_EState10,piecePEOE_VSA14,ex2HallKierAlpha,ex2EState_VSA7,ex1Kappa3,piecePEOE_VSA8,Diisocyanate_ratio,pieceFpDensityMorgan3,ex1HallKierAlpha,pieceBCUT2D_MRHI,piecePEOE_VSA10,pieceMaxAbsPartialCharge,piecePEOE_VSA2,ex2PEOE_VSA14,pieceMaxEStateIndex,pieceEState_VSA9,pieceFpDensityMorgan1,preBalabanJ,ex1HeavyAtomMolWt,piecePEOE_VSA7,pieceqed,extender2_ratio,pieceVSA_EState7,pieceChi4v,ex2Chi4v,ex2Kappa3,ex1EState_VSA6,pieceVSA_EState9,pieceMinAbsEStateIndex,pieceEState_VSA5,polyol_ratio,preqed,ex1VSA_EState10,pieceMinEStateIndex,ex1EState_VSA8,Hs_wt,pieceBCUT2D_MWHI,mac_rate,pieceVSA_EState1,extender1_ratio,pieceHallKierAlpha,lg_Eb
0,153,22.96271508,9.50710874,-0.452633642,9.445570128,0,44.46628487,0.143,1996.978925,5.36968782,114.837,0,121.3690623,-1.295324675,24.26546827,1.920152255,1988.862223,0.125,0.092077088,-1.295324675,6.103655531,45.99609467,0.452633642,104.2467664,160.173204,13.73598842,748.4243467,0.034261242,0.661731168,652.608,2243.063088,0.007283387,0,282.6740463,98.86188162,5.36968782,1.920152255,38.40330522,2.658590443,0.128844886,38.48506336,0.375,0.023550178,3.094981231,-0.813499598,12.13273414,0.205,16.96675451,50,929.694423,0.5,-35,1.156851901
1,86,12.84164325,10.04357799,-0.465675003,3.800879328,0,43.39553105,1,1655.6957,1.546886273,95.2094,0,455.6501584,1.324675325,38.40330522,5.324675325,476.2474778,0.5,0.096632504,1.324675325,6.12098948,66.06881965,0.465675003,372.7408487,61.03242346,12.65382745,374.2121734,0.033674963,0.7635072,420.458,1515.936722,0.009560247,0,119.5899489,67.56524689,1.546886273,5.324675325,0,2.601053541,0.030334836,14.21959508,0.05,0.018111499,3.813117284,-0.638138802,0,0.8,16.85467216,100,431.2159345,0.45,-56.16,1.397940009
2,193,0,9.755119843,-0.452879058,6.439837762,0,717.7076887,0.96,462.2991569,5.701318992,140.1451,0,97.49184114,2.024675325,59.99110118,8.024675325,1028.347522,0.49,0.058423913,2.024675325,8.768642555,89.98176962,0.452879058,0,81.28428338,13.95438905,928.4251389,0.023097826,1.402292199,484.592,1580.244518,0.006713662,0.265,-190.7442669,133.2677607,5.701318992,8.024675325,0,8.364518678,0.049379106,57.39518699,0.245,0.019008174,3.771553918,-1.333054257,0,0.158,33.11719356,40,1191.6673,0,-145.13,1.689752696
3,193,0,9.755119843,-0.452879058,6.439837762,0,717.7076887,0.96,462.2991569,5.701318992,140.1451,0,97.49184114,2.024675325,59.99110118,8.024675325,1028.347522,0.49,0.058423913,2.024675325,8.768642555,89.98176962,0.452879058,0,81.28428338,13.95438905,928.4251389,0.023097826,1.402292199,484.592,1580.244518,0.006713662,0.252,-190.7442669,133.2677607,5.701318992,8.024675325,0,8.364518678,0.049379106,57.39518699,0.245,0.019008174,3.771553918,-1.333054257,0,0.158,33.11719356,40,1191.6673,0.013,-145.13,1.697665163
4,193,0,9.755119843,-0.452879058,6.439837762,0,717.7076887,0.96,462.2991569,5.701318992,140.1451,0,97.49184114,2.024675325,59.99110118,8.024675325,1028.347522,0.49,0.058423913,2.024675325,8.768642555,89.98176962,0.452879058,0,81.28428338,13.95438905,928.4251389,0.023097826,1.402292199,484.592,1580.244518,0.006713662,0.226,-190.7442669,133.2677607,5.701318992,8.024675325,0,8.364518678,0.049379106,57.39518699,0.245,0.019008174,3.771553918,-1.333054257,0,0.158,33.11719356,40,1191.6673,0.04,-145.13,1.725094521
5,193,0,9.755119843,-0.452879058,6.439837762,0,717.7076887,0.654,462.2991569,5.701318992,140.1451,0,97.49184114,2.024675325,59.99110118,8.024675325,1028.347522,0.49,0.058423913,2.024675325,8.768642555,89.98176962,0.452879058,0,81.28428338,13.95438905,928.4251389,0.023097826,1.402292199,484.592,1580.244518,0.006713662,0.239,-190.7442669,133.2677607,5.701318992,8.024675325,0,8.364518678,0.049379106,57.39518699,0.245,0.019008174,3.771553918,-1.333054257,0,0.185,33.11719356,40,1191.6673,0.265,-145.13,1.741387992
6,83,25.68328649,10.04343312,-0.445375557,4.516631974,0,59.85541782,0.9,1005.848947,1.904762596,86.6593,0,466.4410256,4.233766234,0,10.23376623,131.27255,0.5,0.100350058,4.233766234,6.146428238,826.2051429,0.508248338,53.16788604,158.0581274,12.95637216,900.0039612,0.033838973,0.893082162,516.066,1225.655979,0.00956017,0,-154.6765211,65.77426709,1.904762596,10.23376623,0,3.066069285,0.001075248,353.3584668,0.278,0.023549634,4.175842152,-1.088754225,137.6036403,0.159,17.23353823,100,1022.566128,0.278,-70.36,1.851502953
7,83,25.68328649,10.04343312,-0.445375557,4.516631974,0,59.85541782,1,1005.848947,1.904762596,86.6593,0,466.4410256,4.233766234,0,10.23376623,131.27255,0.5,0.100350058,4.233766234,6.146428238,826.2051429,0.508248338,53.16788604,158.0581274,12.95637216,900.0039612,0.033838973,0.893082162,516.066,1225.655979,0.00956017,0,-154.6765211,65.77426709,1.904762596,10.23376623,0,3.066069285,0.001075248,353.3584668,0.313,0.023549634,4.175842152,-1.088754225,137.6036403,0.135,17.23353823,100,1022.566128,0.188,-70.36,1.907465107
8,83,25.68328649,10.04343312,-0.445375557,4.516631974,0,59.85541782,1,1005.848947,1.904762596,86.6593,0,466.4410256,4.233766234,0,10.23376623,131.27255,0.5,0.100350058,4.233766234,6.146428238,826.2051429,0.508248338,53.16788604,158.0581274,12.95637216,900.0039612,0.033838973,0.893082162,516.066,1225.655979,0.00956017,0,-154.6765211,65.77426709,1.904762596,10.23376623,0,3.066069285,0.001075248,353.3584668,0.357,0.023549634,4.175842152,-1.088754225,137.6036403,0.117,17.23353823,100,1022.566128,0.143,-70.36,1.955639653
9,193,0,9.755119843,-0.452879058,6.439837762,0,717.7076887,0.96,462.2991569,5.701318992,140.1451,0,97.49184114,2.024675325,59.99110118,8.024675325,1028.347522,0.49,0.058423913,2.024675325,8.768642555,89.98176962,0.452879058,0,81.28428338,13.95438905,928.4251389,0.023097826,1.402292199,484.592,1580.244518,0.006713662,0.265,-190.7442669,133.2677607,5.701318992,8.024675325,0,8.364518678,0.049379106,57.39518699,0.245,0.019008174,3.771553918,-1.333054257,0,0.158,33.11719356,40,1191.6673,0,-145.13,1.97735773
10,78,12.84164325,10.04357819,-0.452633642,3.800879328,0,43.54482768,0.001,1398.862835,1.546886273,113.8244,0,374.4832945,1.324675325,38.40330522,5.324675325,90.99818039,0.001,0.080547112,1.324675325,6.048924909,0,0.507756147,85.06861766,61.03242346,12.64242427,492.6337472,0.031914894,0.747675228,420.458,1644.353154,0.009560247,0,98.78516741,62.14380819,1.546886273,5.324675325,0,2.606470194,0.097452326,14.21959508,0.476,0.018111507,3.813117284,-0.755355489,0,0,17.01125956,100,549.474797,0,-57.01,2
11,78,11.12690298,10.03986645,-0.427838779,7.423290371,0,58.42999723,0.281,1395.433354,2.78848856,65.4048,26.7592299,694.0496166,3.253766234,12.13273414,5.183246163,747.1756867,0.22,0.115436242,3.253766234,6.403162544,0,0.427838779,532.6216044,217.853174,13.23345048,543.7743697,0.038926174,0.81188596,671.049,1060.214091,0.005532693,0,-5.122882426,63.29186938,2.78848856,5.183246163,137.6036403,3.022795369,0.105387425,14.09534397,0.222,0.010481557,15.84936714,-1.080042445,24.26546827,0.315,35.49913163,100,515.0103561,0.56,-78.12,2.021189299
12,153,11.12690298,10.03991743,-0.490038196,7.423290371,0,53.80592859,0.5,1962.180397,2.78848856,115.5042,13.50907128,97.30546446,0.144675325,24.26546827,5.183246163,1947.972802,0.33,0.101417666,3.253766234,6.353616665,37.92655152,0.490038196,69.11825185,106.642762,13.2568065,752.6787747,0.033805889,0.661731168,671.049,2262.622475,0.012430726,0,286.5990145,93.56847601,1.499309991,4.58165462,137.6036403,2.90907938,0.009480218,7.109797541,0.33,0.023550178,15.84936714,-0.615395218,24.26546827,0.183,35.49688376,100,901.1245691,0.33,-31.92,2.025305865
13,78,11.12690298,10.03986459,-0.449311805,7.423290371,0,63.0777145,0.5,1010.184057,2.78848856,90.9658,26.97513098,97.11908778,3.253766234,12.13273414,5.183246163,963.9881797,0.33,0.135779817,3.253766234,6.361142255,0,0.449311805,53.16788604,217.853174,13.23656115,401.6684811,0.049541284,0.70532805,671.049,1317.046956,0.012430722,0,135.092445,56.63785982,2.78848856,5.183246163,137.6036403,3.154936803,0.258425183,0,0.33,0.023613693,15.84936714,-0.511089814,24.26546827,0.341,35.49908301,100,434.0421301,0.33,-28.72,2.133538908
14,78,11.12690298,10.03986645,-0.427838779,7.423290371,0,58.42999723,0.406,1395.433354,2.78848856,65.4048,26.7592299,694.0496166,3.253766234,12.13273414,5.183246163,747.1756867,0.29,0.115436242,3.253766234,6.403162544,0,0.427838779,532.6216044,217.853174,13.23345048,543.7743697,0.038926174,0.81188596,671.049,1060.214091,0.005532693,0,-5.122882426,63.29186938,2.78848856,5.183246163,137.6036403,3.022795369,0.105387425,14.09534397,0.286,0.010481557,15.84936714,-1.080042445,24.26546827,0.247,35.49913163,100,515.0103561,0.429,-78.12,2.149219113
15,193,0,9.755119843,-0.452879058,6.439837762,0,717.7076887,0.96,462.2991569,5.701318992,140.1451,0,97.49184114,2.024675325,59.99110118,8.024675325,1028.347522,0.49,0.058423913,2.024675325,8.768642555,89.98176962,0.452879058,0,81.28428338,13.95438905,928.4251389,0.023097826,1.402292199,484.592,1580.244518,0.006713662,0.265,-190.7442669,133.2677607,5.701318992,8.024675325,0,8.364518678,0.049379106,57.39518699,0.245,0.019008174,3.771553918,-1.333054257,0,0.158,33.11719356,40,1191.6673,0,-145.13,2.156912426
16,193,0,9.755119843,-0.452879058,6.439837762,0,717.7076887,0.96,462.2991569,5.701318992,140.1451,0,97.49184114,2.024675325,59.99110118,8.024675325,1028.347522,0.49,0.058423913,2.024675325,8.768642555,89.98176962,0.452879058,0,81.28428338,13.95438905,928.4251389,0.023097826,1.402292199,484.592,1580.244518,0.006713662,0.252,-190.7442669,133.2677607,5.701318992,8.024675325,0,8.364518678,0.049379106,57.39518699,0.245,0.019008174,3.771553918,-1.333054257,0,0.158,33.11719356,40,1191.6673,0.013,-145.13,2.172719661
17,86,12.84164325,10.04357799,-0.465675003,3.800879328,0,43.39553105,1,1655.6957,1.546886273,95.2094,0,455.6501584,1.324675325,38.40330522,5.324675325,476.2474778,0.5,0.096632504,1.324675325,6.12098948,66.06881965,0.465675003,372.7408487,61.03242346,12.65382745,374.2121734,0.033674963,0.7635072,420.458,1515.936722,0.009560247,0,119.5899489,67.56524689,1.546886273,5.324675325,0,2.601053541,0.030334836,14.21959508,0.063,0.018111499,3.813117284,-0.638138802,0,0.76,16.85467216,100,431.2159345,0.438,-56.16,2.176091259
18,193,0,9.755119843,-0.452879058,6.439837762,0,717.7076887,0.96,462.2991569,5.701318992,140.1451,0,97.49184114,2.024675325,59.99110118,8.024675325,1028.347522,0.49,0.058423913,2.024675325,8.768642555,89.98176962,0.452879058,0,81.28428338,13.95438905,928.4251389,0.023097826,1.402292199,484.592,1580.244518,0.006713662,0.252,-190.7442669,133.2677607,5.701318992,8.024675325,0,8.364518678,0.049379106,57.39518699,0.245,0.019008174,3.771553918,-1.333054257,0,0.158,33.11719356,40,1191.6673,0.013,-145.13,2.207849711
19,193,0,9.755119843,-0.452879058,6.439837762,0,717.7076887,0.96,462.2991569,5.701318992,140.1451,0,97.49184114,2.024675325,59.99110118,8.024675325,1028.347522,0.49,0.058423913,2.024675325,8.768642555,89.98176962,0.452879058,0,81.28428338,13.95438905,928.4251389,0.023097826,1.402292199,484.592,1580.244518,0.006713662,0.265,-190.7442669,133.2677607,5.701318992,8.024675325,0,8.364518678,0.049379106,57.39518699,0.245,0.019008174,3.771553918,-1.333054257,0,0.158,33.11719356,40,1191.6673,0,-145.13,2.230882999
20,193,0,9.755119843,-0.452879058,6.439837762,0,717.7076887,0.96,462.2991569,5.701318992,140.1451,0,97.49184114,2.024675325,59.99110118,8.024675325,1028.347522,0.49,0.058423913,2.024675325,8.768642555,89.98176962,0.452879058,0,81.28428338,13.95438905,928.4251389,0.023097826,1.402292199,484.592,1580.244518,0.006713662,0.252,-190.7442669,133.2677607,5.701318992,8.024675325,0,8.364518678,0.049379106,57.39518699,0.245,0.019008174,3.771553918,-1.333054257,0,0.158,33.11719356,40,1191.6673,0.013,-145.13,2.238923846
21,74,11.12690298,10.0407972,-0.449311804,7.423290371,0,62.03814834,1.333,965.6764451,2.78848856,80.70676,26.86749945,97.11908778,3.253766234,12.13273414,5.183246163,963.9881797,0.571,0.162977867,3.253766234,6.359470317,0,0.449311804,53.16788604,217.853174,13.22414672,401.6684811,0.058350101,1.115637089,671.049,1228.031732,0.012430722,0,128.0582648,50.44762148,2.78848856,5.183246163,137.6036403,3.094665735,0.239707863,0,0.286,0.035378731,15.84936714,-0.576450933,24.26546827,0.325,35.49907277,500,433.3181351,0.143,-22.48,2.244920044
22,193,0,9.755119843,-0.452879058,6.439837762,0,717.7076887,0.96,462.2991569,5.701318992,140.1451,0,97.49184114,2.024675325,59.99110118,8.024675325,1028.347522,0.49,0.058423913,2.024675325,8.768642555,89.98176962,0.452879058,0,81.28428338,13.95438905,928.4251389,0.023097826,1.402292199,484.592,1580.244518,0.006713662,0.265,-190.7442669,133.2677607,5.701318992,8.024675325,0,8.364518678,0.049379106,57.39518699,0.245,0.019008174,3.771553918,-1.333054257,0,0.158,33.11719356,40,1191.6673,0,-145.13,2.259880447
23,193,0,9.755119843,-0.452879058,6.439837762,0,717.7076887,0.96,462.2991569,5.701318992,140.1451,0,97.49184114,2.024675325,59.99110118,8.024675325,1028.347522,0.49,0.058423913,2.024675325,8.768642555,89.98176962,0.452879058,0,81.28428338,13.95438905,928.4251389,0.023097826,1.402292199,484.592,1580.244518,0.006713662,0.265,-190.7442669,133.2677607,5.701318992,8.024675325,0,8.364518678,0.049379106,57.39518699,0.245,0.019008174,3.771553918,-1.333054257,0,0.158,33.11719356,40,1191.6673,0,-145.13,2.279393143
24,193,0,9.755119843,-0.452879058,6.439837762,0,717.7076887,0.96,462.2991569,5.701318992,140.1451,0,97.49184114,2.024675325,59.99110118,8.024675325,1028.347522,0.49,0.058423913,2.024675325,8.768642555,89.98176962,0.452879058,0,81.28428338,13.95438905,928.4251389,0.023097826,1.402292199,484.592,1580.244518,0.006713662,0.252,-190.7442669,133.2677607,5.701318992,8.024675325,0,8.364518678,0.049379106,57.39518699,0.245,0.019008174,3.771553918,-1.333054257,0,0.158,33.11719356,40,1191.6673,0.013,-145.13,2.28302971
25,193,0,9.755119843,-0.452879058,6.439837762,0,717.7076887,0.96,462.2991569,5.701318992,140.1451,0,97.49184114,2.024675325,59.99110118,8.024675325,1028.347522,0.49,0.058423913,2.024675325,8.768642555,89.98176962,0.452879058,0,81.28428338,13.95438905,928.4251389,0.023097826,1.402292199,484.592,1580.244518,0.006713662,0.265,-190.7442669,133.2677607,5.701318992,8.024675325,0,8.364518678,0.049379106,57.39518699,0.245,0.019008174,3.771553918,-1.333054257,0,0.158,33.11719356,40,1191.6673,0,-145.13,2.298831252
26,193,0,9.755119843,-0.452879058,6.439837762,0,717.7076887,0.96,462.2991569,5.701318992,140.1451,0,97.49184114,2.024675325,59.99110118,8.024675325,1028.347522,0.49,0.058423913,2.024675325,8.768642555,89.98176962,0.452879058,0,81.28428338,13.95438905,928.4251389,0.023097826,1.402292199,484.592,1580.244518,0.006713662,0.252,-190.7442669,133.2677607,5.701318992,8.024675325,0,8.364518678,0.049379106,57.39518699,0.245,0.019008174,3.771553918,-1.333054257,0,0.158,33.11719356,40,1191.6673,0.013,-145.13,2.322322686
27,193,0,9.755119843,-0.452879058,6.439837762,0,717.7076887,0.96,462.2991569,5.701318992,140.1451,0,97.49184114,2.024675325,59.99110118,8.024675325,1028.347522,0.49,0.058423913,2.024675325,8.768642555,89.98176962,0.452879058,0,81.28428338,13.95438905,928.4251389,0.023097826,1.402292199,484.592,1580.244518,0.006713662,0.252,-190.7442669,133.2677607,5.701318992,8.024675325,0,8.364518678,0.049379106,57.39518699,0.245,0.019008174,3.771553918,-1.333054257,0,0.158,33.11719356,40,1191.6673,0.013,-145.13,2.33025139
28,193,0,9.755119843,-0.452879058,6.439837762,0,717.7076887,0.96,462.2991569,5.701318992,140.1451,0,97.49184114,2.024675325,59.99110118,8.024675325,1028.347522,0.49,0.058423913,2.024675325,8.768642555,89.98176962,0.452879058,0,81.28428338,13.95438905,928.4251389,0.023097826,1.402292199,484.592,1580.244518,0.006713662,0.252,-190.7442669,133.2677607,5.701318992,8.024675325,0,8.364518678,0.049379106,57.39518699,0.245,0.019008174,3.771553918,-1.333054257,0,0.158,33.11719356,40,1191.6673,0.013,-145.13,2.330657235
29,51,0,9.623487904,-0.452879054,6.439837762,0,48.38351585,1.045,898.1433578,5.701318992,55.081,0,97.49184114,2.024675325,59.99110118,8.024675325,652.2547495,0.511,0.195767196,2.024675325,8.766145651,26.42752786,0.452879054,0,81.28428338,13.08399666,265.2643254,0.076719577,1.182656977,484.592,818.6135125,0.015272463,0,95.52046262,54.6561162,5.701318992,8.024675325,0,8.92713138,0.008327804,14.21959508,0.222,0.032795769,3.771553918,-0.466508399,0,0.517,33.11689107,1000,321.2563045,0.267,-11.88,2.336059278
30,193,0,9.755119843,-0.452879058,6.439837762,0,717.7076887,0.96,462.2991569,5.701318992,140.1451,0,97.49184114,2.024675325,59.99110118,8.024675325,1028.347522,0.49,0.058423913,2.024675325,8.768642555,89.98176962,0.452879058,0,81.28428338,13.95438905,928.4251389,0.023097826,1.402292199,484.592,1580.244518,0.006713662,0.252,-190.7442669,133.2677607,5.701318992,8.024675325,0,8.364518678,0.049379106,57.39518699,0.245,0.019008174,3.771553918,-1.333054257,0,0.158,33.11719356,40,1191.6673,0.013,-145.13,2.340741475
31,78,12.84164325,10.04357819,-0.452633642,3.800879328,0,43.54482768,0.001,1398.862835,1.546886273,113.8244,0,374.4832945,1.324675325,38.40330522,5.324675325,90.99818039,0.001,0.080547112,1.324675325,6.048924909,0,0.507756147,85.06861766,61.03242346,12.64242427,492.6337472,0.031914894,0.747675228,420.458,1644.353154,0.009560247,0,98.78516741,62.14380819,1.546886273,5.324675325,0,2.606470194,0.097452326,14.21959508,0.123,0.018111507,3.813117284,-0.755355489,0,0.115,17.01125956,100,549.474797,0.354,-57.01,2.342422681
32,78,11.12690298,10.03986459,-0.449311805,7.423290371,0,63.0777145,1.333,1010.184057,2.78848856,90.9658,26.97513098,97.11908778,3.253766234,12.13273414,5.183246163,963.9881797,0.571,0.135779817,3.253766234,6.361142255,0,0.449311805,53.16788604,217.853174,13.23656115,401.6684811,0.049541284,0.70532805,671.049,1317.046956,0.012430722,0,135.092445,56.63785982,2.78848856,5.183246163,137.6036403,3.154936803,0.258425183,0,0.286,0.023613693,15.84936714,-0.511089814,24.26546827,0.388,35.49908301,500,434.0421301,0.143,-28.72,2.356217134
33,74,11.12690298,10.0407972,-0.449311804,7.423290371,0,62.03814834,1,965.6764451,2.78848856,80.70676,26.86749945,97.11908778,3.253766234,12.13273414,5.183246163,963.9881797,0.5,0.162977867,3.253766234,6.359470317,0,0.449311804,53.16788604,217.853174,13.22414672,401.6684811,0.058350101,1.115637089,671.049,1228.031732,0.012430722,0,128.0582648,50.44762148,2.78848856,5.183246163,137.6036403,3.094665735,0.239707863,0,0.33,0.035378731,15.84936714,-0.576450933,24.26546827,0.286,35.49907277,500,433.3181351,0.17,-22.48,2.358087204
34,76,12.84164325,9.623485737,-0.452879054,3.800879328,0,48.37946359,1,1244.867725,1.546886273,73.7986,0,97.49184114,1.324675325,38.40330522,5.324675325,959.5874333,0.5,0.128256513,1.324675325,5.759128723,0,0.452879054,0,61.03242346,13.1373368,383.6858993,0.052104208,1.128054356,420.458,1165.33788,0.019858198,0,148.4012423,64.26473349,1.546886273,5.324675325,0,2.747455566,0.004678577,14.21959508,0.15,0.032530195,3.813117284,-0.492712372,0,0.488,16.73274915,5000,467.9365617,0.35,-14.28,2.389166084
35,51,12.84164325,9.3620847,-0.452879054,3.800879328,0,48.69080317,1.022,975.1932173,1.546886273,56.7284,0,97.49184114,1.164675325,38.40330522,5.324675325,629.243335,0.505,0.236180905,1.324675325,5.753178265,24.41586555,0.452879054,0,202.7732677,13.6724072,284.5131932,0.085427136,1.182656977,420.458,931.1708083,0.015272463,0.011,106.5473348,61.68465481,10.99098913,2.45047252,0,2.744036247,0.008640972,14.21959508,0.22,0.032795769,3.813117284,-0.495424794,0,0.611,17.26254868,1000,336.3848897,0.264,-13.44,2.395972548
