pieceVSA_EState3,pieceSlogP_VSA5,pieceMolLogP,pieceVSA_EState10,pieceMaxEStateIndex,pieceFpDensityMorgan1,pieceqed,pieceVSA_EState9,pieceEState_VSA5,pieceMinEStateIndex,pieceVSA_EState1,pieceHallKierAlpha,extender1_ratio,Hs_wt,polyol_ratio,extender2_ratio,mac_rate,preqed,ex1VSA_EState10,ex1EState_VSA8,lg_Eb
44.46628487,1996.978925,114.837,0,13.73598842,0.034261242,0.007283387,2.658590443,38.48506336,-0.813499598,929.694423,-35,0.5,0.205,0.375,0,50,0.023550178,3.094981231,12.13273414,1.156851901
43.39553105,1655.6957,95.2094,0,12.65382745,0.033674963,0.009560247,2.601053541,14.21959508,-0.638138802,431.2159345,-56.16,0.45,0.8,0.05,0,100,0.018111499,3.813117284,0,1.397940009
717.7076887,462.2991569,140.1451,0,13.95438905,0.023097826,0.006713662,8.364518678,57.39518699,-1.333054257,1191.6673,-145.13,0,0.158,0.245,0.265,40,0.019008174,3.771553918,0,1.689752696
717.7076887,462.2991569,140.1451,0,13.95438905,0.023097826,0.006713662,8.364518678,57.39518699,-1.333054257,1191.6673,-145.13,0.013,0.158,0.245,0.252,40,0.019008174,3.771553918,0,1.697665163
717.7076887,462.2991569,140.1451,0,13.95438905,0.023097826,0.006713662,8.364518678,57.39518699,-1.333054257,1191.6673,-145.13,0.04,0.158,0.245,0.226,40,0.019008174,3.771553918,0,1.725094521
717.7076887,462.2991569,140.1451,0,13.95438905,0.023097826,0.006713662,8.364518678,57.39518699,-1.333054257,1191.6673,-145.13,0.265,0.185,0.245,0.239,40,0.019008174,3.771553918,0,1.741387992
59.85541782,1005.848947,86.6593,0,12.95637216,0.033838973,0.00956017,3.066069285,353.3584668,-1.088754225,1022.566128,-70.36,0.278,0.159,0.278,0,100,0.023549634,4.175842152,137.6036403,1.851502953
59.85541782,1005.848947,86.6593,0,12.95637216,0.033838973,0.00956017,3.066069285,353.3584668,-1.088754225,1022.566128,-70.36,0.188,0.135,0.313,0,100,0.023549634,4.175842152,137.6036403,1.907465107
59.85541782,1005.848947,86.6593,0,12.95637216,0.033838973,0.00956017,3.066069285,353.3584668,-1.088754225,1022.566128,-70.36,0.143,0.117,0.357,0,100,0.023549634,4.175842152,137.6036403,1.955639653
717.7076887,462.2991569,140.1451,0,13.95438905,0.023097826,0.006713662,8.364518678,57.39518699,-1.333054257,1191.6673,-145.13,0,0.158,0.245,0.265,40,0.019008174,3.771553918,0,1.97735773
43.54482768,1398.862835,113.8244,0,12.64242427,0.031914894,0.009560247,2.606470194,14.21959508,-0.755355489,549.474797,-57.01,0,0,0.476,0,100,0.018111507,3.813117284,0,2
58.42999723,1395.433354,65.4048,26.7592299,13.23345048,0.038926174,0.005532693,3.022795369,14.09534397,-1.080042445,515.0103561,-78.12,0.56,0.315,0.222,0,100,0.010481557,15.84936714,24.26546827,2.021189299
53.80592859,1962.180397,115.5042,13.50907128,13.2568065,0.033805889,0.012430726,2.90907938,7.109797541,-0.615395218,901.1245691,-31.92,0.33,0.183,0.33,0,100,0.023550178,15.84936714,24.26546827,2.025305865
63.0777145,1010.184057,90.9658,26.97513098,13.23656115,0.049541284,0.012430722,3.154936803,0,-0.511089814,434.0421301,-28.72,0.33,0.341,0.33,0,100,0.023613693,15.84936714,24.26546827,2.133538908
58.42999723,1395.433354,65.4048,26.7592299,13.23345048,0.038926174,0.005532693,3.022795369,14.09534397,-1.080042445,515.0103561,-78.12,0.429,0.247,0.286,0,100,0.010481557,15.84936714,24.26546827,2.149219113
717.7076887,462.2991569,140.1451,0,13.95438905,0.023097826,0.006713662,8.364518678,57.39518699,-1.333054257,1191.6673,-145.13,0,0.158,0.245,0.265,40,0.019008174,3.771553918,0,2.156912426
717.7076887,462.2991569,140.1451,0,13.95438905,0.023097826,0.006713662,8.364518678,57.39518699,-1.333054257,1191.6673,-145.13,0.013,0.158,0.245,0.252,40,0.019008174,3.771553918,0,2.172719661
43.39553105,1655.6957,95.2094,0,12.65382745,0.033674963,0.009560247,2.601053541,14.21959508,-0.638138802,431.2159345,-56.16,0.438,0.76,0.063,0,100,0.018111499,3.813117284,0,2.176091259
717.7076887,462.2991569,140.1451,0,13.95438905,0.023097826,0.006713662,8.364518678,57.39518699,-1.333054257,1191.6673,-145.13,0.013,0.158,0.245,0.252,40,0.019008174,3.771553918,0,2.207849711
717.7076887,462.2991569,140.1451,0,13.95438905,0.023097826,0.006713662,8.364518678,57.39518699,-1.333054257,1191.6673,-145.13,0,0.158,0.245,0.265,40,0.019008174,3.771553918,0,2.230882999
717.7076887,462.2991569,140.1451,0,13.95438905,0.023097826,0.006713662,8.364518678,57.39518699,-1.333054257,1191.6673,-145.13,0.013,0.158,0.245,0.252,40,0.019008174,3.771553918,0,2.238923846
62.03814834,965.6764451,80.70676,26.86749945,13.22414672,0.058350101,0.012430722,3.094665735,0,-0.576450933,433.3181351,-22.48,0.143,0.325,0.286,0,500,0.035378731,15.84936714,24.26546827,2.244920044
717.7076887,462.2991569,140.1451,0,13.95438905,0.023097826,0.006713662,8.364518678,57.39518699,-1.333054257,1191.6673,-145.13,0,0.158,0.245,0.265,40,0.019008174,3.771553918,0,2.259880447
717.7076887,462.2991569,140.1451,0,13.95438905,0.023097826,0.006713662,8.364518678,57.39518699,-1.333054257,1191.6673,-145.13,0,0.158,0.245,0.265,40,0.019008174,3.771553918,0,2.279393143
717.7076887,462.2991569,140.1451,0,13.95438905,0.023097826,0.006713662,8.364518678,57.39518699,-1.333054257,1191.6673,-145.13,0.013,0.158,0.245,0.252,40,0.019008174,3.771553918,0,2.28302971
717.7076887,462.2991569,140.1451,0,13.95438905,0.023097826,0.006713662,8.364518678,57.39518699,-1.333054257,1191.6673,-145.13,0,0.158,0.245,0.265,40,0.019008174,3.771553918,0,2.298831252
717.7076887,462.2991569,140.1451,0,13.95438905,0.023097826,0.006713662,8.364518678,57.39518699,-1.333054257,1191.6673,-145.13,0.013,0.158,0.245,0.252,40,0.019008174,3.771553918,0,2.322322686
717.7076887,462.2991569,140.1451,0,13.95438905,0.023097826,0.006713662,8.364518678,57.39518699,-1.333054257,1191.6673,-145.13,0.013,0.158,0.245,0.252,40,0.019008174,3.771553918,0,2.33025139
717.7076887,462.2991569,140.1451,0,13.95438905,0.023097826,0.006713662,8.364518678,57.39518699,-1.333054257,1191.6673,-145.13,0.013,0.158,0.245,0.252,40,0.019008174,3.771553918,0,2.330657235
48.38351585,898.1433578,55.081,0,13.08399666,0.076719577,0.015272463,8.92713138,14.21959508,-0.466508399,321.2563045,-11.88,0.267,0.517,0.222,0,1000,0.032795769,3.771553918,0,2.336059278
717.7076887,462.2991569,140.1451,0,13.95438905,0.023097826,0.006713662,8.364518678,57.39518699,-1.333054257,1191.6673,-145.13,0.013,0.158,0.245,0.252,40,0.019008174,3.771553918,0,2.340741475
43.54482768,1398.862835,113.8244,0,12.64242427,0.031914894,0.009560247,2.606470194,14.21959508,-0.755355489,549.474797,-57.01,0.354,0.115,0.123,0,100,0.018111507,3.813117284,0,2.342422681
63.0777145,1010.184057,90.9658,26.97513098,13.23656115,0.049541284,0.012430722,3.154936803,0,-0.511089814,434.0421301,-28.72,0.143,0.388,0.286,0,500,0.023613693,15.84936714,24.26546827,2.356217134
62.03814834,965.6764451,80.70676,26.86749945,13.22414672,0.058350101,0.012430722,3.094665735,0,-0.576450933,433.3181351,-22.48,0.17,0.286,0.33,0,500,0.035378731,15.84936714,24.26546827,2.358087204
48.37946359,1244.867725,73.7986,0,13.1373368,0.052104208,0.019858198,2.747455566,14.21959508,-0.492712372,467.9365617,-14.28,0.35,0.488,0.15,0,5000,0.032530195,3.813117284,0,2.389166084
48.69080317,975.1932173,56.7284,0,13.6724072,0.085427136,0.015272463,2.744036247,14.21959508,-0.495424794,336.3848897,-13.44,0.264,0.611,0.22,0.011,1000,0.032795769,3.813117284,0,2.395972548
42.46335476,1013.613538,67.4534,0,12.63380493,0.050772627,0.007283387,2.577672029,14.21959508,-0.945496727,242.4948614,-41.71,0.25,0.527,0.25,0,100,0.013806859,3.813117284,0,2.397940009
63.33189094,1126.635125,71.9642,26.5820358,12.79556134,0.057259714,0.014414967,3.198785604,0,-0.418158551,432.0151195,-16.24,0.143,0.32,0.286,0,500,0.032530267,15.84936714,24.26546827,2.405704851
43.54482768,1398.862835,113.8244,0,12.64242427,0.031914894,0.009560247,2.606470194,14.21959508,-0.755355489,549.474797,-57.01,0.327,0.091,0.149,0,100,0.018111507,3.813117284,0,2.414973348
63.0777145,1010.184057,90.9658,26.97513098,13.23656115,0.049541284,0.012430722,3.154936803,0,-0.511089814,434.0421301,-28.72,0.17,0.341,0.33,0,500,0.023613693,15.84936714,24.26546827,2.418351017
48.69080317,975.1932173,56.7284,0,13.6724072,0.085427136,0.015272463,2.744036247,14.21959508,-0.495424794,336.3848897,-13.44,0.264,0.611,0.22,0.011,1000,0.032795769,3.813117284,0,2.418682375
53.17125984,1017.107794,91.0332,2.962795079,13.0742196,0.061068702,0.007283348,2.606815851,37.74336498,-2.756349822,394.4851086,-47.45,0.146,0.418,0.244,0.098,100,0.018113796,7.693242695,48.53093655,2.431363764
43.63503306,1373.179548,115.0268,0,12.62457485,0.036253776,0.007283387,8.497583631,57.39518699,-0.755292978,549.5756332,-55.61,0.15,0.088,0.5,0.15,20,0.018111507,3.771553918,0,2.462248215
63.33189094,1126.635125,71.9642,26.5820358,12.79556134,0.057259714,0.014414967,3.198785604,0,-0.418158551,432.0151195,-16.24,0.17,0.282,0.33,0,500,0.032530267,15.84936714,24.26546827,2.468037009
43.63503306,1373.179548,115.0268,0,12.62457485,0.036253776,0.007283387,8.497583631,57.39518699,-0.755292978,549.5756332,-55.61,0.167,0.085,0.5,0.167,20,0.018111507,3.771553918,0,2.472171147
53.17125984,1017.107794,91.0332,2.962795079,13.0742196,0.061068702,0.007283348,2.606815851,37.74336498,-2.756349822,394.4851086,-47.45,0.195,0.403,0.244,0.049,100,0.018113796,7.693242695,48.53093655,2.477121255
65.44967005,2169.466039,94.439,0,13.25914624,0.040376851,0.01527234,3.174283009,0,-0.556031803,456.0486987,-48.98,0.333,0.474,0.167,0,50,0.024950328,4.175842152,137.6036403,2.484299839
43.63503306,1373.179548,115.0268,0,12.62457485,0.036253776,0.007283387,8.497583631,57.39518699,-0.755292978,549.5756332,-55.61,0.179,0.083,0.5,0.179,20,0.018111507,3.771553918,0,2.486572151
65.44967005,2169.466039,94.439,0,13.25914624,0.040376851,0.01527234,3.174283009,0,-0.556031803,456.0486987,-48.98,0.33,0.469,0.17,0,50,0.024950328,4.175842152,137.6036403,2.491361694
49.68994258,2375.704,97.4826,0,12.79783943,0.023281596,0.019858198,2.834620979,65.58616807,-0.327383545,908.2613949,-17.28,0.25,0.243,0.25,0,500,0.032442693,3.839887251,0,2.494766629
717.7076887,462.2991569,140.1451,0,13.95438905,0.023097826,0.006713662,8.364518678,57.39518699,-1.333054257,1191.6673,-145.13,0.013,0.158,0.245,0.252,40,0.019008174,3.771553918,0,2.506329114
717.7076887,462.2991569,140.1451,0,13.95438905,0.023097826,0.006713662,8.364518678,57.39518699,-1.333054257,1191.6673,-145.13,0.013,0.158,0.245,0.252,40,0.019008174,3.771553918,0,2.507343048
43.64409135,987.9302511,89.3228,0,12.61333101,0.046875,0.007283387,8.507602419,57.39518699,-0.752584727,394.6872007,-44.66,0.25,0.396,0.25,0,20,0.018113796,3.771553918,0,2.516535374
64.7800173,2118.099466,93.911,0,13.26663655,0.043301759,0.008838459,8.673160561,43.17559191,-0.556239489,455.9628892,-47.58,0.333,0.478,0.167,0,50,0.024950328,4.022623457,0,2.531478917
43.39553105,1655.6957,95.2094,0,12.65382745,0.033674963,0.009560247,2.601053541,14.21959508,-0.638138802,431.2159345,-56.16,0.417,0.702,0.083,0,100,0.018111499,3.813117284,0,2.544068044
44.44372165,1951.053495,112.5086,0,12.75422186,0.027352298,0.012430822,2.659056343,14.21959508,-0.625910881,928.1067474,-32.12,0.33,0.183,0.33,0,100,0.023550178,3.478047144,0,2.546542663
43.54482768,1398.862835,113.8244,0,12.64242427,0.031914894,0.009560247,2.606470194,14.21959508,-0.755355489,549.474797,-57.01,0.293,0.067,0.183,0,100,0.018111507,3.813117284,0,2.551449998
717.7076887,462.2991569,140.1451,0,13.95438905,0.023097826,0.006713662,8.364518678,57.39518699,-1.333054257,1191.6673,-145.13,0,0.158,0.245,0.265,40,0.019008174,3.771553918,0,2.558156354
717.7076887,462.2991569,140.1451,0,13.95438905,0.023097826,0.006713662,8.364518678,57.39518699,-1.333054257,1191.6673,-145.13,0.013,0.158,0.245,0.252,40,0.019008174,3.771553918,0,2.559834835
41.53502257,1071.839072,63.91476,0,12.65191987,0.062360802,0.005532786,8.152594409,93.7933894,-1.032560657,268.2217661,-36.72,0.333,0.139,0.5,0,500,0.020678335,3.771553918,0,2.565847819
44.44726233,1951.053495,112.5086,0,12.75423159,0.027352298,0.012430822,2.659054712,14.21959508,-0.62591163,928.2694126,-32.12,0.33,0.183,0.33,0,100,0.023550178,3.472207822,0,2.567026366
47.71663537,1540.99719,71.1086,0,12.77893342,0.046277666,0.011635187,2.756098555,14.21959508,-0.763096624,272.2564287,-31.88,0.333,0.143,0.5,0,500,0.019011903,3.839887251,0,2.574031268
43.63503306,1373.179548,115.0268,0,12.62457485,0.036253776,0.007283387,8.497583631,57.39518699,-0.755292978,549.5756332,-55.61,0.25,0.247,0.25,0,20,0.018111507,3.771553918,0,2.574494268
42.55712274,1116.346684,74.1738,0,12.62078313,0.052313883,0.005532738,8.456863232,57.39518699,-0.94585411,269.3576861,-42.96,0.333,0.157,0.5,0,500,0.013800756,3.771553918,0,2.580924976
48.72656182,962.351574,57.3296,0,13.67255557,0.0925,0.011635187,5.836543858,14.21959508,-0.466491372,336.3926783,-12.74,0.264,0.612,0.22,0.011,1000,0.032795769,3.771553918,0,2.584749484
717.7076887,462.2991569,140.1451,0,13.95438905,0.023097826,0.006713662,8.364518678,57.39518699,-1.333054257,1191.6673,-145.13,0.013,0.158,0.245,0.252,40,0.019008174,3.771553918,0,2.586317193
63.56854526,2118.099466,92.2474,0,13.78535362,0.050065876,0.011635094,12.60344623,28.43919017,-1.128352541,476.3419948,-49.7,0.333,0.546,0.167,0,50,0.024950328,3.236602349,9.473725908,2.602059991
48.72656182,962.351574,57.3296,0,13.67255557,0.0925,0.011635187,5.836543858,14.21959508,-0.466491372,336.3926783,-12.74,0.264,0.612,0.22,0.011,1000,0.032795769,3.771553918,0,2.606101779
41.66740014,1719.903916,80.6724,0,12.6511005,0.027946537,0.007283387,2.547399546,14.21959508,-1.026334435,575.0041114,-76.16,0.353,0.369,0.137,0,50,0.01379805,3.813117284,0,2.609594409
717.7076887,462.2991569,140.1451,0,13.95438905,0.023097826,0.006713662,8.364518678,57.39518699,-1.333054257,1191.6673,-145.13,0.013,0.158,0.245,0.252,40,0.019008174,3.771553918,0,2.61889493
48.72656182,962.351574,57.3296,0,13.67255557,0.0925,0.011635187,5.836543858,14.21959508,-0.466491372,336.3926783,-12.74,0.264,0.612,0.22,0.011,1000,0.032795769,3.771553918,0,2.618936706
54.02100284,952.899578,83.5322,3.031895483,13.07860436,0.062256809,0.009560196,2.653685209,48.87026796,-2.706000403,435.0640553,-27.95,0.195,0.44,0.244,0.049,100,0.023635539,7.693242695,48.53093655,2.62838893
