No.,Ts/Mpa,Eb/%,E
1861,20.47047649,394.4919001,0.942801759
1541,20.67494434,347.7352108,0.941697199
421,19.34313096,368.6213868,0.941264802
1865,20.74041357,378.4465989,0.938274911
1871,21.86913564,397.4340737,0.937479828
425,19.59820212,357.3953941,0.936737949
1381,20.20243137,394.398887,0.935171294
1551,21.17568271,349.2906981,0.933133759
1545,21.51199428,319.1377768,0.933007247
431,21.47435447,370.3904223,0.930731302
1841,21.94157321,371.8203162,0.929582085
1061,20.1741998,345.9969441,0.9295749
1851,22.71962888,372.0584718,0.929002956
1385,20.46883383,374.481603,0.928906127
1689,23.05857762,713.0390912,0.928200357
1869,22.10533878,428.1926518,0.926708917
101,20.29466705,325.5181846,0.924877917
429,20.96540372,394.0028433,0.923980075
430,23.22422628,391.9393234,0.923963952
1870,22.33864689,425.9500689,0.923272609
401,19.83083869,347.6875231,0.922833564
1391,23.38595188,397.3403669,0.922736127
1719,18.42281061,705.5675472,0.922443099
411,20.55777015,347.9102213,0.922254416
1071,22.60817764,346.0904512,0.921256502
1065,20.93386047,316.5780587,0.920884947
1699,23.15682793,583.6676666,0.920539088
1209,21.37031302,714.9855947,0.920238904
1875,22.17537146,391.7681792,0.919337291
1550,26.46844755,391.3689904,0.918486315
1371,22.39954643,367.8518239,0.91790117
1361,21.67945088,367.616361,0.916742014
105,21.116321,299.2803973,0.91674141
1389,21.78198544,436.6507063,0.916305692
1845,23.75281556,350.2432148,0.91473084
1390,22.3959019,425.8400445,0.914413498
1388,20.23044664,420.262612,0.913985921
1860,22.89223456,405.1909883,0.913850883
1691,24.5784711,491.7691086,0.912887345
1369,21.65745044,462.0520746,0.912671571
1239,19.26357752,720.3292402,0.912420909
903,13.42301938,363.6447727,0.91195411
1711,23.75317935,485.0332975,0.911321717
435,21.77506212,365.7653194,0.91121247
1555,21.59867431,354.2636873,0.91112261
1709,21.58605042,501.8274506,0.911051819
111,21.00192097,325.2909742,0.910823761
1521,19.79300402,331.6794995,0.908679828
1868,22.27981457,409.8698286,0.908286946
1531,20.47081136,331.8919444,0.908274807
1855,23.06728075,355.6873713,0.908196598
420,22.70844421,373.1070676,0.908138828
1365,20.83043864,342.684351,0.907975297
110,26.0847598,385.0017623,0.907613769
1849,22.95209306,445.5183894,0.907292745
1720,19.91542686,703.8132414,0.907096199
1540,23.2130232,375.8886697,0.907058803
405,21.67982574,325.8440729,0.906606019
1395,23.71342783,391.8196123,0.906517648
1219,21.66409358,583.3620641,0.906420256
249,20.63344649,681.7328097,0.905682099
1688,23.40202203,586.9995732,0.905405256
1075,22.98407907,353.7035095,0.90540273
250,22.62535973,685.835111,0.905387299
1685,25.45528301,472.4435238,0.905294651
428,21.13088453,381.645014,0.904289831
251,22.19879616,483.7434903,0.904066712
1850,24.80655352,447.3354559,0.903781742
1879,19.42540985,469.4510575,0.903596022
1715,24.08579763,489.1516493,0.903421322
1070,23.65767579,409.3149606,0.903268711
1549,24.25002629,410.6487826,0.90313722
1681,23.54083889,487.2877412,0.903004635
1542,21.18082212,291.6119554,0.902770536
271,22.95373891,481.1158919,0.902709388
1530,22.20835261,438.1936362,0.902506401
415,20.87234162,336.1448739,0.901448072
1880,19.67399374,471.3657345,0.901418007
1862,25.32453852,350.244329,0.901320072
1859,22.6372825,404.9568573,0.900535046
1229,20.5843667,511.7231887,0.900404289
102,20.71663644,273.7294468,0.900202384
280,19.29095623,679.5522455,0.900183441
279,19.22432751,675.4875249,0.900133141
1718,18.66473199,609.4253728,0.900127738
109,25.67688851,384.05819,0.900040313
422,24.27922707,334.4655031,0.899887095
1211,22.72132836,495.4339186,0.899802974
1379,21.63301726,415.8324278,0.899756514
1529,21.94788311,440.5470412,0.899750805
675,11.22123129,741.1339862,0.899390389
1041,19.3125198,333.1599226,0.898863307
1701,22.31545614,483.2978588,0.898710947
259,20.85109477,578.7809788,0.898574249
1205,21.03200336,479.6059094,0.898367643
801,4.539703139,833.940232,0.898320005
260,21.22176091,559.8128953,0.898223856
1690,24.6880684,721.0210874,0.898109957
1383,20.1728014,355.4093654,0.898016692
1695,24.95411082,449.534955,0.897971509
1698,23.64652604,598.9411597,0.897743956
1231,24.46958215,487.1982022,0.897549374
409,20.74635473,399.7753053,0.89744729
1560,21.29414641,457.1487916,0.896749123
1546,20.81750717,331.9190943,0.89659102
245,23.2808917,455.8419964,0.896473993
1863,23.84138353,345.2595321,0.896287935
1208,23.32973504,590.1769133,0.896235313
410,24.82170111,402.1395856,0.896164612
261,20.71800289,480.6996369,0.896142795
248,20.5265346,570.39117,0.895894868
1235,24.8122323,495.0941319,0.895806372
1050,21.38965324,460.6029573,0.895751934
1375,22.74230045,345.5731155,0.895283647
1866,23.13682965,400.9381485,0.895140551
275,23.27516254,480.8800613,0.894808994
241,21.2685046,485.0201982,0.894737432
1060,22.24827211,386.5021238,0.894146978
423,23.91166981,324.7785456,0.894061228
106,20.51037445,310.547023,0.894022863
811,7.465638488,827.8841307,0.893906476
440,21.03171766,423.5600546,0.893800852
439,19.16652891,421.069838,0.893750567
426,21.67747359,373.5959084,0.893603594
1710,23.39789257,479.257983,0.89354676
1539,22.92470689,398.8691502,0.892890743
1559,19.50939852,459.603999,0.892801663
631,13.79953658,1468.443905,0.892685634
1051,19.93071298,333.3733157,0.892681201
419,20.48543537,375.2885416,0.892594656
269,21.69944675,498.1082267,0.892349192
270,22.03031263,483.2704204,0.892333053
1382,22.37259896,356.4800922,0.891804952
901,12.79200918,395.3770338,0.891510418
1049,20.77632036,462.9713979,0.891452224
1535,21.60741894,297.6186428,0.89122107
911,17.10343755,393.1895131,0.890945551
278,17.95017219,599.0348171,0.890825675
1062,20.59030395,292.0239358,0.890501887
1210,21.01310366,739.0014909,0.890500769
635,13.71623349,1383.032551,0.890498629
100,24.5545143,369.6263741,0.890487206
1700,23.23966305,567.7343894,0.890393094
881,15.09822489,368.6866406,0.890262159
1201,21.86163328,490.9191548,0.88992026
1399,18.98543617,486.5829713,0.889740899
255,22.53806663,444.3687699,0.889704301
1705,23.05558049,443.1553352,0.889669536
89,23.07089221,401.0637168,0.889209563
1221,21.74178712,484.6521507,0.889097882
115,21.42144161,328.754575,0.888812607
1238,19.35990164,611.537114,0.888793068
258,20.7649578,586.9712011,0.888786998
1708,21.82860911,585.0759667,0.888736452
511,11.26448687,372.7349265,0.888649306
905,12.96069297,373.1894714,0.888534708
1080,20.98064462,477.5187621,0.887933939
1400,21.08765038,489.4606341,0.887915118
1069,22.979309,430.2693074,0.887567341
1878,19.58624726,422.2602427,0.887481212
1368,22.11672428,388.2349619,0.887470559
891,15.51942325,368.922789,0.886969295
1853,25.86383695,331.0351639,0.886781185
265,21.4051454,438.1640745,0.886756279
1525,20.07016754,320.5776918,0.886668673
91,19.95434232,315.458062,0.886309999
81,19.24894692,312.6121021,0.886161569
1398,19.09978969,435.783031,0.885483518
90,23.43737326,419.0054778,0.885381385
1380,22.25831828,408.4976945,0.885359626
815,5.431220245,704.1331667,0.885286816
268,20.19114279,581.06627,0.885133445
