,ex2PEOE_VSA9,R,ex2BCUT2D_CHGHI,pieceSMR_VSA6,pieceFpDensityMorgan2,preBCUT2D_MWHI,pieceBCUT2D_MRLOW,polyol_MW,piecePEOE_VSA10,pieceVSA_EState6,pieceVSA_EState9,preSlogP_VSA5,piecePEOE_VSA7,ex2MinAbsEStateIndex,ex1PEOE_VSA2,ex1VSA_EState4,piece_mw,ex2BCUT2D_LOGPHI,pieceHallKierAlpha,pieceSPS,polyol_ratio,ex2FpDensityMorgan3,ex1VSA_EState7,mac_rate,pieceBCUT2D_MWHI,extender1_ratio,pieceMinAbsEStateIndex,pieceMaxAbsEStateIndex,ex2BCUT2D_LOGPLOW,Diisocyanate_ratio,Hs_wt,pieceqed,pieceBCUT2D_MRHI,ex2FpDensityMorgan1,extender2_ratio,pieceBalabanJ,pieceEState_VSA6,pieceMaxPartialCharge,pieceMinEStateIndex,piecePEOE_VSA9,ex2PEOE_VSA7,ex2MolLogP,pieceNumAliphaticHeterocycles,ex1PEOE_VSA9,pieceVSA_EState5,pieceVSA_EState2,ex2MaxPartialCharge,pieceBertzCT,ex2TPSA,lg_ts
0,37.69829882,1.05,2.667006858,972.1553544,0.123595506,16.56312202,-0.145764518,1000,18.81481474,2.269624425,2.831497089,295.3577947,1474.818344,0.012792895,0,0,7629.822,2.508194186,-15.44,19.80898876,0.244,2.764705882,1.4375,500,16.74432428,0.171,0.025209239,14.09429564,-2.433209011,0.512,0.407,0.011635187,6.074197608,1.352941176,0.073,0.185349205,12.15204021,0.406960971,-1.267285496,117.9867135,0,-1.7204,3,0,8.144053042,230.9657679,0.236147693,12317.47579,87.07,1.747411808
1,0,1,1.768324594,786.4039371,0.052247874,16.62509059,-0.148962952,2000,0,112.3240353,2.547399546,343.2948871,1002.270992,0.195,0,0,11646.809,1.802227409,-76.16,10.71931956,0.143,1.333333333,1.4375,100,16.98937927,0.357,0.000705614,12.6511005,-1.849294283,0.5,0.355,0.007283387,6.257409654,0.833333333,0,0.237355186,242.6546827,0.418877773,-1.026334435,701.3353194,12.84164325,-0.2488,0,0,-51.98059137,1426.74459,0.043137008,29187.86335,40.46,1.72427587
2,0,1,1.768324594,654.2662978,0.06295754,16.59920646,-0.148227699,830,66.06881965,117.2624875,2.601053541,330.4532439,1515.936722,0.195,0,0,9625.629,1.802227409,-56.16,10.89604685,0.125,1.333333333,1.4375,100,16.85467216,0.375,0.030334836,12.65382745,-1.849294283,0.5,0.605,0.009560247,6.12098948,0.833333333,0,0.233503757,194.1237462,0.411111959,-0.638138802,503.1288605,12.84164325,-0.2488,0,0,-19.94976113,937.240305,0.043137008,22986.52704,40.46,1.713490543
3,0,1,1.768324594,686.3344576,0.157281553,16.62864282,-0.11635367,1000,63.55424176,-2.156747809,2.71031598,204.6946225,883.6412949,0.195,4.794537184,6.092594482,7418.969,1.802227409,-16.2,23.08543689,0.25,1.333333333,0.313935185,100,16.85048435,0.25,0.003288869,13.73281199,-1.849294283,0.5,0.38,0.021268238,5.879350986,0.833333333,0,0.46315663,41.5424232,0.407196152,-0.650829228,1114.462351,12.84164325,-0.2488,0,0,-0.058638828,230.6644675,0.043137008,14626.88738,40.46,1.695831773
4,13.21376393,1.05,2.306419717,2047.028299,0.076670318,16.58111082,-0.152532501,1000,37.38144358,119.8266373,2.658524199,394.6614601,2217.315025,0.542824074,10.11132579,-1.069634131,13002.123,2.124115355,-32.14,11.82146769,0.333,1.777777778,0,100,16.95113718,0.1,0.137697749,13.49538195,-2.345428669,0.7,0.411,0.012430724,6.048671874,1.444444444,0.233,0.195896258,103.9856103,0.41120122,-1.777681204,80.28841473,6.9237372,-0.9381,0,18.75268918,-1.475715033,246.1468785,0.313554045,22717.08821,77.76,1.692846919
5,0,1,1.892990612,991.4168702,0.118343195,16.56292422,0.060610271,1000,0,13.83264161,3.247902929,259.8503584,1161.9084,0.591111111,0,13.14842593,7250.381,2.020339002,-15.84,17.39250493,0.385,1.9,0,100,16.71101297,0.173,0.0395799,13.54355351,-1.996855356,0.731,0.353,0.021596916,5.801873179,1,0.173,0.337935316,14.09534397,0.406842698,-0.439218359,66.06881965,11.12690298,0.604,0,0,0,206.4806906,0.017771742,11972.28695,52.04,1.689930104
6,13.21376393,1.01,1.575298676,1017.968649,0.090909091,16.56292422,0.052045292,1000,26.42752786,-0.96354558,2.747153343,259.8503584,1139.654594,0.125,0,0,7104.089,1.392607251,-14.28,17.53939394,0.205,1.25,0,500,16.73575204,0.29,0.004861642,13.16842876,-1.84530091,0.5,0.386,0.019858198,5.759864429,1,0,0.40489966,0,0.406968648,-0.596738795,80.28841473,0,-1.029,0,13.21376393,0,204.4329699,0.06622664,11114.61761,40.46,1.683137131
7,0,1,1.768324594,654.2662978,0.06295754,16.59920646,-0.148227699,830,66.06881965,117.2624875,2.601053541,330.4532439,1515.936722,0.195,0,0,9625.629,1.802227409,-56.16,10.89604685,0.1,1.333333333,1.4375,100,16.85467216,0.4,0.030334836,12.65382745,-1.849294283,0.5,0.66,0.009560247,6.12098948,0.833333333,0,0.233503757,194.1237462,0.411111959,-0.638138802,503.1288605,12.84164325,-0.2488,0,0,-19.94976113,937.240305,0.043137008,22986.52704,40.46,1.683047038
8,0,0.2,1.841818145,304.9224015,0.086519115,16.59611656,-0.14554787,1000,0,0.727624583,2.756098555,321.0410811,1378.850821,0.283163265,0,0,7055.095,1.960693252,-31.88,18.70020121,0.5,1.25,3.8275,500,16.74813833,0.333,0.013259345,12.77893342,-1.850951937,0.167,0.143,0.011635187,5.955168815,0.625,0,0.236580446,0,0.414608948,-0.763096624,304.9224015,12.84164325,0.5314,0,0,-4.464725493,694.7747718,0.043052419,14133.92427,40.46,1.669316881
9,0,1,2.043233864,685.0443643,0.149712092,16.62864282,-0.116353669,1000,63.55424176,-2.905558375,2.709513094,204.6946225,877.7233888,0.06000189,4.794537184,6.092594482,7498.031,1.991367908,-17.32,22.95201536,0.25,2.833333333,0.313935185,100,16.84958837,0.25,0.003138525,13.7332603,-2.187983653,0.5,0.38,0.027350773,5.891474493,1.666666667,0,0.426061503,48.4661604,0.407196152,-0.650974524,1107.855469,6.9237372,-0.80468,0,0,-0.117581499,252.2281299,0.277448476,15059.28394,92,1.663700925
